compound_id,common_name,iupac_name,cas_number,pubchem_cid,chembl_id,chemspider_id,chemical_formula,molecular_weight,g/mol,boiling_point_c,melting_point_c,density_g_ml,odor_description,flavor_family,primary_biosynthetic_pathway,producing_gene_ids,plant_source_common,typical_tissue,ref_pubmed_primary,ref_pubmed_secondary,ref_doi,notes
A-CMP-001,limonene,(4R)-1-methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,138-86-3,22311,CHEMBL17249,CSID:138-86-3,C10H16,136.23,176,na,0.841,bright citrus,citrus,"mevalonate pathway; limonene synthase",A-GEN-TPS-LIM1; A-GEN-TPS-LIM2,Citrus spp. peel,albedo/essential oil,PMID:10472364,PMID:15645858,10.1021/np9905146,Cyclic monoterpene; major citrus oil component
A-CMP-016,carvacrol,5-isopropyl-2-methylphenol,499-75-2,10364,CSID:499-75-2,C10H14O,150.22,237,0,0.977,sharp phenolic spicy,herbal,phenylpropanoid pathway,A-GEN-TPS-CAR1; A-GEN-TPS-CAR2,Origanum compactum;Thymus,leaf/oil,PMID:12781682,PMID:15660358,10.1021/jf062073x,Isomer of thymol; antimicrobial
A-CMP-017,menthol,(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol,89-48-5,16573,CSID:89-48-5,C10H20O,156.27,212,36,0.890,cooling minty peppermint,herbal,"mevalonate pathway; menthol synthase",A-GEN-TPS-MEN1; A-GEN-TPS-MEN2,Mentha piperita;Mentha,leaf/oil,PMID:10709672,PMID:15660358,10.1021/np9905146,Monoterpenoid alcohol; cooling TRPM8 agonist
A-CMP-018,alpha-terpinene,1-methyl-2-(prop-1-en-2-yl)cyclohexa-1,3-diene,99-86-5,6012,CSID:99-86-5,C10H16,136.23,174,na,0.838,sharp citrus herbal,citrus,"mevalonate pathway; terpinene synthase",A-GEN-TPS-TER1; A-GEN-TPS-TER2,Melaleuca alternifolia;Citrus,leaf/oil,PMID:10924511,PMID:15660358,10.1021/np9905146,Cyclic monoterpene; tea tree precursor
A-CMP-019,gamma-terpinene,1-methyl-4-(prop-1-en-2-yl)cyclohexa-1,4-diene,99-84-3,250637,CSID:99-84-3,C10H16,136.23,183,na,0.846,herbal citrus citrus,citrus,"mevalonate pathway; terpinene synthase",A-GEN-TPS-TER3; A-GEN-TPS-TER4,Melaleuca alternifolia;Citrus,leaf/oil,PMID:10924511,PMID:15660358,10.1021/np9905146,Cyclic monoterpene; tea tree component
A-CMP-020,terpinen-4-ol,2-(prop-1-en-2-yl)-5-methylcyclohexan-1-ol,562-74-3,14157,CSID:562-74-3,C10H18O,154.25,217,na,0.927,herbal woody spicy,herbal,"mevalonate pathway; terpinen-4-ol synthase",A-GEN-TPS-T4OL1; A-GEN-TPS-T4OL2,Melaleuca alternifolia;Origanum,leaf/oil,PMID:10924511,PMID:15660358,10.1021/np9905146,Monoterpenoid alcohol; key tea tree oil component
A-CMP-021,sabinene,thujane (not accurate - see structure),100-51-6 (mixed),22479,CSID:22479,C10H16,136.23,164,na,0.840,sharp citrus woody,citrus,"mevalonate pathway; sabinene synthase",A-GEN-TPS-SAB1; A-GEN-TPS-SAB2,Pinus spp.;Citrus,needle/oil,PMID:10782301,PMID:15660358,10.1021/np9905146,Cyclic monoterpene; minor citrus component
A-CMP-022,alpha-terpineol,2-(prop-1-en-2-yl)-5-methylcyclohexan-1-ol,10462-41-1 (mixed),10624,CSID:10462-41-1,C10H18O,154.25,219,40,0.933,floral lilac sweet,floral,"mevalonate pathway; terpineol synthase",A-GEN-TPS-TPEL1; A-GEN-TPS-TPEL2,Pinus spp.;Citrus,flower/oil,PMID:10924511,PMID:15660358,10.1021/np9905146,Monoterpenoid alcohol; lilac scent
A-CMP-023,beta-damascenone,1-(2,6,6-trimethylcyclohexa-1,3-dien-1-yl)but-2-en-1-one,23726-91-2,15477,CSID:23726-91-2,C13H20O,192.30,na,na,0.950,fruity apple rose floral,floral,carotenoid cleavage pathway,A-GEN-DAM1; A-GEN-DAM2,Rosa spp.;Vitis,flower/fruit,PMID:12855420,PMID:15660358,10.1021/np9905146,Norisoprenoid; key aroma compound
A-CMP-024,beta-ionone,4-(2,6,6-trimethylcyclohex-1-en-1-yl)but-3-en-2-one,79-77-6,5828,CSID:79-77-6,C13H20O,192.30,na,na,0.948,floral violet woody berry,floral,carotenoid cleavage pathway,A-GEN-ION1; A-GEN-ION2,Vitis;Rosa,flower/fruit,PMID:12855420,PMID:15660358,10.1021/np9905146,Norisoprenoid; violet note
A-CMP-025,nootkatone,4,4a,5,6,7,8-hexahydro-3,5,5-trimethyl-1-naphthalenol,4674-20-2,10477,CSID:4674-20-2,C15H22O,218.33,na,36,0.997,citrus grapefruit woody,citrus,carotenoid cleavage pathway,A-GEN-NOO1; A-GEN-NOO2,Citrus paradisi;Valeriana,oil/root,PMID:10924511,PMID:15660358,10.1021/np9905146,Sesquiterpenoid ketone; grapefruit key aroma
A-CMP-026,valencene,4,4a,5,6,7,8-hexahydro-3,5,5-trimethyl-1-naphthalenemethanol,502-49-2,51902,CSID:502-49-2,C15H24,204.35,na,na,0.901,fruity citrus sweet,citrus,"mevalonate pathway; valencene synthase",A-GEN-VAL1; A-GEN-VAL2,Citrus sinensis;Pinus,oil/wood,PMID:10924511,PMID:15660358,10.1021/np9905146,Sesquiterpene; orange aroma precursor
A-CMP-027,farnesol (E,E),3,7,11-trimethyl-2,6,10-dodecatrien-1-ol,4602-84-0,39574,CSID:4602-84-0,C15H26O,222.37,na,na,0.890,delicate floral lily green,floral,"mevalonate pathway; farnesol synthase",A-GEN-TPS-FAR1; A-GEN-TPS-FAR2,Achillea millefolium;Rosa,flower/oil,PMID:12855420,PMID:15660358,10.1021/np9905146,Sesquiterpenoid alcohol; floral green
A-CMP-028,sesquiterpene lactone (costunolide),3a,4,5,6,7,7a,8,9,11a,11b-decahydro-1H-cyclopenta[b]azulene-1,5(2H)-dione,620-05-3,51670,CSID:620-05-3,C15H20O3,232.32,na,106,1.000,bitter herbaceous aromatic,herbal,"mevalonate pathway; germacrene A synthase",A-GEN-TPS-COST1; A-GEN-TPS-COST2,Costus speciosus;Saussurea,root/oil,PMID:12781682,PMID:15660358,10.1021/jf062073x,Sesquiterpene lactone; anti-inflammatory
A-CMP-029,pulegone,(2S,5R)-2-isopropyl-5-methylcyclohex-2-en-1-one,89-82-7,25297,CSID:89-82-7,C10H16O,152.23,224,na,0.938,herbal minty camphor,herbal,"mevalonate pathway; pulegone synthase",A-GEN-TPS-PUL1; A-GEN-TPS-PUL2,Mentha piperita;Rosmarinus,leaf/oil,PMID:10709672,PMID:10924511,10.1021/np9905146,Monoterpenoid ketone; minty
A-CMP-030,caryophyllene oxide,4,8,13,13-tetramethyl-5-methylidene-4,8,13,14-tetrahydro-1H-cyclopenta[b]cycloprop[h]azulene 1a(2aH)-yl methanone,1139-30-6,62136,CSID:1139-30-6,C15H24O,220.35,na,96,1.000,woody earthy dry,woody,oxidation of beta-caryophyllene,A-GEN-TPS-CARYOX1; A-GEN-TPS-CARYOX2,clove;Piper nigrum,oil/oleoresin,PMID:15834877,PMID:18927321,10.1016/j.phytochem.2008.09.006,Oxidized sesquiterpene; dry wood note
