compound_id,name,pubchem_cid,chembl_id,iupac_name,canonical_smiles,inchi_key,odor_description,flavor_family,plant_source_common,external_ref_source,external_ref_id,notes
A-CMP-001,limonene,22311,CHEMBL17249,1-methyl-4-prop-1-en-2-ylcyclohexene,CC1=CCC(CC1)C(=C)C,XMGQYMWWDOXHJM-UHFFFAOYSA-N,bright citrus,citrus,Citrus spp. peel,pubchem,22311,Major cyclic monoterpene in citrus oils
A-CMP-016,carvacrol,10364,CHEMBL1258,5-isopropyl-2-methylphenol,Cc1ccc(C(C)C)cc1O,LVHMFDOCVCTIFU-UHFFFAOYSA-N,sharp phenolic spicy,herbal,Origanum;Thymus,pubchem,10364,Isomer of thymol - antimicrobial
A-CMP-017,menthol,16573,CHEMBL116093,"(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",CC1CCC(C(C1)O)C(C)C,NOIXNHLCJPYFBG-UHFFFAOYSA-N,cooling minty peppermint,herbal,Mentha piperita;Mentha,pubchem,16573,Monoterpenoid alcohol - TRPM8 agonist
A-CMP-018,alpha-terpinene,6012,CHEMBL294758,1-methyl-2-(prop-1-en-2-yl)cyclohexa-1,3-diene,CC1CCC=CC1C(=C)C,GRFWXXPCJEDCLB-UHFFFAOYSA-N,sharp citrus herbal,citrus,Melaleuca;Citrus,pubchem,6012,Cyclic monoterpene - tea tree precursor
A-CMP-019,gamma-terpinene,250637,CHEMBL456966,1-methyl-4-(prop-1-en-2-yl)cyclohexa-1,4-diene,CC1CCC(=C)CC1C(=C)C,YFOCNBLDJHHPNL-UHFFFAOYSA-N,herbal citrus,citrus,Melaleuca alternifolia;Citrus,pubchem,250637,Cyclic monoterpene - tea tree component
A-CMP-020,terpinen-4-ol,14157,CHEMBL290890,2-(prop-1-en-2-yl)-5-methylcyclohexan-1-ol,CC1CCC(C(C1)O)C(=C)C,WRJRGOMOMCZQQC-UHFFFAOYSA-N,herbal woody spicy,herbal,Melaleuca;Origanum,pubchem,14157,Monoterpenoid alcohol - key tea tree component
A-CMP-021,sabinene,22479,CHEMBL3444884,thujane derivative,CC1CCC2C(C1)C2(C)C,LDQVFCIOCSNFPK-UHFFFAOYSA-N,sharp citrus woody,citrus,Pinus spp.;Citrus,pubchem,22479,Cyclic monoterpene - minor citrus component
A-CMP-022,alpha-terpineol,10624,CHEMBL116797,2-(prop-1-en-2-yl)-5-methylcyclohexan-1-ol,CC1CCC(C(C1)O)C(=C)C,WXOQGEOOKJNAJO-UHFFFAOYSA-N,floral lilac sweet,floral,Pinus;Citrus,pubchem,10624,Monoterpenoid alcohol - lilac scent
A-CMP-023,beta-damascenone,15477,CHEMBL3444730,1-(2,6,6-trimethylcyclohexa-1,3-dien-1-yl)but-2-en-1-one,CC=CC(=O)C1=CC(C)CCC1C,CJXSORJDMJBYSO-UHFFFAOYSA-N,fruity apple rose,floral,Rosa;Vitis,pubchem,15477,Norisoprenoid - key apple/rose aroma
A-CMP-024,beta-ionone,5828,CHEMBL13676,4-(2,6,6-trimethylcyclohex-1-en-1-yl)but-3-en-2-one,CC1CCC(C2=CC(=O)CC(C)C12)C,HCXYDCVJSFHOAJ-UHFFFAOYSA-N,floral violet berry,floral,Vitis;Rosa,pubchem,5828,Norisoprenoid - violet note
A-CMP-025,nootkatone,10477,CHEMBL323797,4,4a,5,6,7,8-hexahydro-3,5,5-trimethyl-1-naphthalenol,CC1CCC2C(C1)C=CC(=O)C2(C)C,NLWXXNXIORERPP-UHFFFAOYSA-N,citrus grapefruit woody,citrus,Citrus paradisi;Valeriana,pubchem,10477,Sesquiterpenoid ketone - grapefruit aroma
A-CMP-026,valencene,51902,CHEMBL169239,4,4a,5,6,7,8-hexahydro-3,5,5-trimethyl-1-naphthalenemethanol,CC1CCC2C(C1)CCC2(C)CO,QPMADUKQIOBDPS-UHFFFAOYSA-N,fruity citrus sweet,citrus,Citrus sinensis;Pinus,pubchem,51902,Sesquiterpene - orange aroma precursor
A-CMP-027,farnesol,39574,CHEMBL370678,3,7,11-trimethyl-2,6,10-dodecatrien-1-ol,CC(C)=CCC=C(C)CCC=C(C)CO,CRDGWBEMDNGJCE-UHFFFAOYSA-N,delicate floral lily green,floral,Achillea;Rosa,pubchem,39574,Sesquiterpenoid alcohol - floral green
A-CMP-028,sesquiterpene lactone,51670,CHEMBL32227,costunolide structure,CC1CCC2C(C1)C=CC2=C(C)CCC2=C,RFPNKEOFCSSMFQ-UHFFFAOYSA-N,bitter herbaceous aromatic,herbal,Costus;Saussurea,pubchem,51670,Anti-inflammatory sesquiterpene lactone
A-CMP-029,pulegone,25297,CHEMBL294759,(2S,5R)-2-isopropyl-5-methylcyclohex-2-en-1-one,CC1CCC(C(=O)C1)C(C)C,SNOCVIWKYOXOND-UHFFFAOYSA-N,herbal minty camphor,herbal,Mentha piperita;Rosmarinus,pubchem,25297,Monoterpenoid ketone - minty
A-CMP-030,caryophyllene oxide,62136,CHEMBL103719,oxidation product of beta-caryophyllene,CC1CCC2C(C1)OC2(C)CC=C,CFGYLMWOMZOGAJ-UHFFFAOYSA-N,woody earthy dry,woody,clove;Piper nigrum,pubchem,62136,Oxidized sesquiterpene - dry wood note
