assigneduser,type,subtype,foldername,priority1,priority2,process,status,duetostart,duetoend,peoplename,namelast,case_task_id,housenumber,streetname,propx,propy,latitude,longitude,location
Victor Moreno,UR,Sound Enforcement,VICTOR MORENO 2026 PROACTIVE,,,Proactive Sound Enforcement Inspection,Open,2026-10-01T00:00:00.000,2026-10-31T00:00:00.000,CITY OF AUSTIN,,2026-024381 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Javier Salas,UR,Sound Enforcement,Javier Salas - Proactive Inspections (2026),,,Proactive Sound Enforcement Inspection,Open,2026-09-01T00:00:00.000,2026-09-30T00:00:00.000,CITY OF AUSTIN,,2026-021831 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Aaron Hagel,UR,Sound Enforcement,Aaron Hagel - Proactive Inspections 2026,,,Proactive Sound Enforcement Inspection,Open,2026-09-01T00:00:00.000,2026-09-30T00:00:00.000,CITY OF AUSTIN,,2026-021852 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Victor Moreno,UR,Sound Enforcement,VICTOR MORENO 2026 PROACTIVE,,,Proactive Sound Enforcement Inspection,Open,2026-09-01T00:00:00.000,2026-09-30T00:00:00.000,CITY OF AUSTIN,,2026-024381 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
John Rodriguez,UR,Sound Enforcement,JOHN RODRIGUEZ 2026 - Proactive Inspections,,,Proactive Sound Enforcement Inspection,Open,2026-09-01T00:00:00.000,2026-09-30T00:00:00.000,CITY OF AUSTIN,,2026-036012 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Robert Crouch,UR,Sound Enforcement,ROBERT CROUCH - PROACTIVE SOUND INSPECTIONS 2026,,,Proactive Sound Enforcement Inspection,Open,2026-09-01T00:00:00.000,2026-09-30T00:00:00.000,CITY OF AUSTIN,,2026-021827 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Javier Salas,UR,Sound Enforcement,Javier Salas - Proactive Inspections (2026),,,Proactive Sound Enforcement Inspection,Open,2026-08-01T00:00:00.000,2026-08-31T00:00:00.000,CITY OF AUSTIN,,2026-021831 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
John Rodriguez,UR,Sound Enforcement,JOHN RODRIGUEZ 2026 - Proactive Inspections,,,Proactive Sound Enforcement Inspection,Open,2026-08-01T00:00:00.000,2026-08-31T00:00:00.000,CITY OF AUSTIN,,2026-036012 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Victor Moreno,UR,Sound Enforcement,VICTOR MORENO 2026 PROACTIVE,,,Proactive Sound Enforcement Inspection,Open,2026-08-01T00:00:00.000,2026-08-31T00:00:00.000,CITY OF AUSTIN,,2026-024381 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Aaron Hagel,UR,Sound Enforcement,Aaron Hagel - Proactive Inspections 2026,,,Proactive Sound Enforcement Inspection,Open,2026-08-01T00:00:00.000,2026-08-31T00:00:00.000,CITY OF AUSTIN,,2026-021852 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Robert Crouch,UR,Sound Enforcement,ROBERT CROUCH - PROACTIVE SOUND INSPECTIONS 2026,,,Proactive Sound Enforcement Inspection,Open,2026-08-01T00:00:00.000,2026-08-31T00:00:00.000,CITY OF AUSTIN,,2026-021827 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
John Rodriguez,UR,Sound Enforcement,JOHN RODRIGUEZ 2026 - Proactive Inspections,,,Proactive Sound Enforcement Inspection,Open,2026-07-01T00:00:00.000,2026-07-31T00:00:00.000,CITY OF AUSTIN,,2026-036012 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Robert Crouch,UR,Sound Enforcement,ROBERT CROUCH - PROACTIVE SOUND INSPECTIONS 2026,,,Proactive Sound Enforcement Inspection,Open,2026-07-01T00:00:00.000,2026-07-31T00:00:00.000,CITY OF AUSTIN,,2026-021827 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Aaron Hagel,UR,Sound Enforcement,Aaron Hagel - Proactive Inspections 2026,,,Proactive Sound Enforcement Inspection,Open,2026-07-01T00:00:00.000,2026-07-31T00:00:00.000,CITY OF AUSTIN,,2026-021852 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Victor Moreno,UR,Sound Enforcement,VICTOR MORENO 2026 PROACTIVE,,,Proactive Sound Enforcement Inspection,Open,2026-07-01T00:00:00.000,2026-07-31T00:00:00.000,CITY OF AUSTIN,,2026-024381 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Javier Salas,UR,Sound Enforcement,Javier Salas - Proactive Inspections (2026),,,Proactive Sound Enforcement Inspection,Open,2026-07-01T00:00:00.000,2026-07-31T00:00:00.000,CITY OF AUSTIN,,2026-021831 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Javier Salas,UR,Sound Enforcement,Javier Salas - Proactive Inspections (2026),,,Proactive Sound Enforcement Inspection,Open,2026-06-01T00:00:00.000,2026-06-30T00:00:00.000,CITY OF AUSTIN,,2026-021831 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
John Rodriguez,UR,Sound Enforcement,JOHN RODRIGUEZ 2026 - Proactive Inspections,,,Proactive Sound Enforcement Inspection,Open,2026-06-01T00:00:00.000,2026-06-30T00:00:00.000,CITY OF AUSTIN,,2026-036012 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Victor Moreno,UR,Sound Enforcement,VICTOR MORENO 2026 PROACTIVE,,,Proactive Sound Enforcement Inspection,Open,2026-06-01T00:00:00.000,2026-06-30T00:00:00.000,CITY OF AUSTIN,,2026-024381 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Aaron Hagel,UR,Sound Enforcement,Aaron Hagel - Proactive Inspections 2026,,,Proactive Sound Enforcement Inspection,Open,2026-06-01T00:00:00.000,2026-06-30T00:00:00.000,CITY OF AUSTIN,,2026-021852 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Robert Crouch,UR,Sound Enforcement,ROBERT CROUCH - PROACTIVE SOUND INSPECTIONS 2026,,,Proactive Sound Enforcement Inspection,Open,2026-06-01T00:00:00.000,2026-06-30T00:00:00.000,CITY OF AUSTIN,,2026-021827 UR,6310,WILHELMINA DELCO,3124222,10091780,30.32522605,-97.70985634,"
,  
(30.32522605, -97.70985634)"
Jim Richerson,EP,Residential,7624 PARKVIEW CIR,,,305 Final Electric,,2026-05-15T00:00:00.000,2026-05-15T00:00:00.000,,,2026-038648 EP,7624,PARKVIEW,3104186,10108008,30.3711182,-97.77216028,"
,  
(30.3711182, -97.77216028)"
Bob Reed,BP,R- 434 Addition & Alterations,4704 HILLDALE DR,,,101 Building Layout,,2026-05-15T00:00:00.000,2026-05-15T00:00:00.000,SAFA ATOUSA & JAVAD AZIMPOOR,,2026-033618 BP,4704,HILLDALE,3136647,10078272,30.28728346,-97.67151046,"
,  
(30.28728346, -97.67151046)"
Mike Franke,PP,Residential,13009 CANDLESTICK PL,,,521 Final Plumbing,,2026-05-15T00:00:00.000,2026-05-15T00:00:00.000,,,2026-054144 PP,13009,CANDLESTICK,3129306,10127521,30.42314135,-97.69105643,"
,  
(30.42314135, -97.69105643)"
DeeAnn Afra,MP,Residential,2109 FAR GALLANT DR,,,405 Final Mechanical,,2026-05-15T00:00:00.000,2026-05-15T00:00:00.000,,,2026-050629 MP,2109,FAR GALLANT,3093016,10088855,30.3191708,-97.8089499,"
,  
(30.3191708, -97.8089499)"
Levi Singleton,EP,R- 434 Addition & Alterations,2306 STANDISH DR,,,304 Temporary Electric,,2026-05-15T00:00:00.000,2026-05-15T00:00:00.000,,,2026-020816 EP,2306,STANDISH,3095389,10051577,30.21654983,-97.80411699,"
,  
(30.21654983, -97.80411699)"
Levi Singleton,MP,Residential,3407 GALESBURG DR,,,405 Final Mechanical,,2026-05-15T00:00:00.000,2026-05-15T00:00:00.000,HAUSSLER ELIZABETH A,,2026-046729 MP,3407,GALESBURG,3086123,10047280,30.20531374,-97.83375116,"
,  
(30.20531374, -97.83375116)"
Hector Nava,EP,Residential,4804 SAVOREY LN,1,,305 Final Electric,,2026-05-15T00:00:00.000,2026-05-15T00:00:00.000,,,2026-050860 EP,4804,SAVOREY,3110704,10035999,30.17276195,-97.75678532,"
,  
(30.17276195, -97.75678532)"
Levi Singleton,MP,Residential,6507 HALSEY CT,,,114 Continuance of work,,2026-05-15T00:00:00.000,2026-05-15T00:00:00.000,,,2026-057022 MP,6507,HALSEY,3066621,10041481,30.19056269,-97.89587419,"
,  
(30.19056269, -97.89587419)"
Levi Singleton,MP,Residential,6507 HALSEY CT,,,405 Final Mechanical,,2026-05-15T00:00:00.000,2026-05-15T00:00:00.000,,,2026-057022 MP,6507,HALSEY,3066621,10041481,30.19056269,-97.89587419,"
,  
(30.19056269, -97.89587419)"
Jim Richerson,EP,Residential,7624 PARKVIEW CIR,,,304 Temporary Electric,,2026-05-15T00:00:00.000,2026-05-15T00:00:00.000,,,2026-038648 EP,7624,PARKVIEW,3104186,10108008,30.3711182,-97.77216028,"
,  
(30.3711182, -97.77216028)"
Bob Reed,MP,Residential,1207 SINGLETON AVE BLDG 2,,,405 Final Mechanical,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2026-048732 MP,1207,SINGLETON,3123368,10073608,30.2753296,-97.71391849,"
,  
(30.2753296, -97.71391849)"
Don Welch,PP,C-1000 Commercial Remodel,604 BRAZOS ST,,,522 Plumbing TCO Occupancy,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2025-120786 PP,604,BRAZOS,3114657,10070787,30.26813608,-97.74171477,"
,  
(30.26813608, -97.74171477)"
Adrian Rios,BP,R- 434 Addition & Alterations,8302 ORR DR,,,105 Wallboard,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SALAMANDER HOLDINGS LLC,,2025-111375 BP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Adrian Rios,MP,R- 434 Addition & Alterations,8302 ORR DR,,,402 Mechanical Vent,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2025-111375 MP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Mike Franke,EP,Residential,4606 GRAY FOX DR,,,304 Temporary Electric,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2026-051142 EP,4606,GRAY FOX,3115062,10122728,30.41088831,-97.73659185,"
,  
(30.41088831, -97.73659185)"
Martin Johnsen,EP,C-1000 Commercial Remodel,604 BRAZOS ST,,3,306 Electrical TCO Occupancy,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2025-120786 EP,604,BRAZOS,3114657,10070787,30.26813608,-97.74171477,"
,  
(30.26813608, -97.74171477)"
Adrian Rios,BP,R- 434 Addition & Alterations,8302 ORR DR,,,114 Continuance of work,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SALAMANDER HOLDINGS LLC,,2025-111375 BP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Adrian Rios,BP,R- 434 Addition & Alterations,8302 ORR DR,,,106 Fire Resistance-Rated Construction,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SALAMANDER HOLDINGS LLC,,2025-111375 BP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Dan Kiser,EP,Residential,12607 BRIGHTSIDE ST,,,305 Final Electric,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2026-049103 EP,12607,BRIGHTSIDE,3100175.25,10137953,30.45368686,-97.78269815,"
,  
(30.45368686, -97.78269815)"
Adrian Rios,BP,R- 434 Addition & Alterations,8302 ORR DR,,,102 Foundation,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SALAMANDER HOLDINGS LLC,,2025-111375 BP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Leonard Gonzales,MP,C-1000 Commercial Remodel,604 BRAZOS ST,,,406 Mech TCO Occupancy,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2025-120786 MP,604,BRAZOS,3114657,10070787,30.26813608,-97.74171477,"
,  
(30.26813608, -97.74171477)"
Levi Singleton,MP,Residential,2314 BILLY FISKE LN,,,405 Final Mechanical,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2026-032116 MP,2314,BILLY FISKE,3084485,10028149,30.15282601,-97.84029225,"
,  
(30.15282601, -97.84029225)"
Adrian Rios,MP,R- 434 Addition & Alterations,8302 ORR DR,,,400 Mechanical Rough,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2025-111375 MP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Adrian Rios,BP,R- 434 Addition & Alterations,8302 ORR DR,,,112 Final Building,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SALAMANDER HOLDINGS LLC,,2025-111375 BP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Mike Franke,EP,Residential,2006 CARRIAGE PARK LN,,,305 Final Electric,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,TEWARI PRANSHU,,2026-044372 EP,2006,CARRIAGE PARK,3128784,10125869,30.41863435,-97.69283655,"
,  
(30.41863435, -97.69283655)"
Adrian Rios,BP,R- 434 Addition & Alterations,8302 ORR DR,,,110 Termite Inspection,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SALAMANDER HOLDINGS LLC,,2025-111375 BP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
DeeAnn Afra,BP,R- 434 Addition & Alterations,3309 THOUSAND OAKS CV,,,104  Insulation,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2024-161113 BP,3309,THOUSAND OAKS,3093909,10070013,30.26732055,-97.80747623,"
,  
(30.26732055, -97.80747623)"
Adrian Rios,BP,R- 434 Addition & Alterations,8302 ORR DR,,,103 Framing,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SALAMANDER HOLDINGS LLC,,2025-111375 BP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Anthony Andrews,EP,Residential,13608 LONG ISLAND DR,,,304 Temporary Electric,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,MMK PROPERTIES LLC,,2025-157090 EP,13608,LONG ISLAND,3151197,10118272,30.39626941,-97.62233727,"
,  
(30.39626941, -97.62233727)"
Adrian Rios,BP,R- 434 Addition & Alterations,8302 ORR DR,,,111 Energy Final,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SALAMANDER HOLDINGS LLC,,2025-111375 BP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Levi Singleton,EP,Residential,7603 GALLIANO CIR,,,305 Final Electric,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SMITH WESLEY L & VALERIE A,,2026-041205 EP,7603,GALLIANO,3081215,10050691,30.21499247,-97.84904296,"
,  
(30.21499247, -97.84904296)"
Mike Franke,EP,Residential,2006 CARRIAGE PARK LN,,,304 Temporary Electric,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,TEWARI PRANSHU,,2026-044372 EP,2006,CARRIAGE PARK,3128784,10125869,30.41863435,-97.69283655,"
,  
(30.41863435, -97.69283655)"
Adrian Rios,MP,R- 434 Addition & Alterations,8302 ORR DR,,,409 Mechanical Temp Gas,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2025-111375 MP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Victor Acquarola,PP,Residential,11752 D K RANCH RD,,,521 Final Plumbing,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2026-050762 PP,11752,D K RANCH,3105728,10128020,30.426031,-97.76580728,"
,  
(30.426031, -97.76580728)"
DeeAnn Afra,EP,Residential,4928 TRAIL WEST DR,,,305 Final Electric,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2026-056598 EP,4928,TRAIL WEST,3086680,10063505,30.24988,-97.83083301,"
,  
(30.24988, -97.83083301)"
Adrian Rios,BP,R- 434 Addition & Alterations,8302 ORR DR,,,104  Insulation,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SALAMANDER HOLDINGS LLC,,2025-111375 BP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Anthony Andrews,EP,Residential,13608 LONG ISLAND DR,,,305 Final Electric,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,MMK PROPERTIES LLC,,2025-157090 EP,13608,LONG ISLAND,3151197,10118272,30.39626941,-97.62233727,"
,  
(30.39626941, -97.62233727)"
Levi Singleton,EP,Residential,7603 GALLIANO CIR,,,304 Temporary Electric,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,SMITH WESLEY L & VALERIE A,,2026-041205 EP,7603,GALLIANO,3081215,10050691,30.21499247,-97.84904296,"
,  
(30.21499247, -97.84904296)"
Mike Franke,EP,Residential,4606 GRAY FOX DR,,,305 Final Electric,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2026-051142 EP,4606,GRAY FOX,3115062,10122728,30.41088831,-97.73659185,"
,  
(30.41088831, -97.73659185)"
Adrian Rios,MP,R- 434 Addition & Alterations,8302 ORR DR,,,405 Final Mechanical,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2025-111375 MP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Adrian Rios,MP,R- 434 Addition & Alterations,8302 ORR DR,,,114 Continuance of work,,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,,,2025-111375 MP,8302,ORR,3098820,10038106,30.17930503,-97.79423074,"
,  
(30.17930503, -97.79423074)"
Joshua Ojeda,MP,Commercial,12001 DESSAU RD UNIT 2236,,,405 Final Mechanical,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,,,2026-035048 MP,12001,DESSAU,3141599,10111851,30.37925879,-97.65326272,"
,  
(30.37925879, -97.65326272)"
Levi Singleton,EP,Residential,2401 TOULOUSE DR,,,301 Electrical Rough,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,JACKSON NAOMI KATHRYN,,2026-053888 EP,2401,TOULOUSE,3088919,10038982,30.18233054,-97.82549452,"
,  
(30.18233054, -97.82549452)"
Victor Acquarola,MP,Residential,11024 PENCEWOOD CT,,,405 Final Mechanical,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,,,2026-055660 MP,11024,PENCEWOOD,3090848,10132967,30.4405654,-97.81265159,"
,  
(30.4405654, -97.81265159)"
Timothy York,EP,Residential,3310 GENTRY DR,,4444,305 Final Electric,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,,,2026-049656 EP,3310,GENTRY,3098178,10073412,30.27639677,-97.79371132,"
,  
(30.27639677, -97.79371132)"
Joshua Ojeda,MP,Commercial,12001 DESSAU RD UNIT 337,,,405 Final Mechanical,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,,,2026-035045 MP,12001,DESSAU,3141599,10111851,30.37925879,-97.65326272,"
,  
(30.37925879, -97.65326272)"
Mike Franke,MP,Residential,3501 DEL ROBLES,,,405 Final Mechanical,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,,,2026-044618 MP,3501,DEL ROBLES,3124896,10129523,30.42893176,-97.70489432,"
,  
(30.42893176, -97.70489432)"
Jack Garcia,BP,C-1000 Commercial Remodel,11515 BURNET RD UNIT 100,,,100 Bldg Pre-Construction,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,,,2026-031967 BP,11515,BURNET,3120975,10119178,30.40074903,-97.71810363,"
,  
(30.40074903, -97.71810363)"
Martin Johnsen,EP,C-1000 Commercial Remodel,1011 SPRINGDALE RD,,13,301 Electrical Rough,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,,,2025-147036 EP,1011,SPRINGDALE,3129650,10070481,30.26632581,-97.69425832,"
,  
(30.26632581, -97.69425832)"
Anthony Andrews,EP,Residential,11501 TRINITY HILL DR,,,304 Temporary Electric,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,PRATHER ADAM THOMAS,,2026-052801 EP,11501,TRINITY HILL,3136114,10111443,30.37849941,-97.67068337,"
,  
(30.37849941, -97.67068337)"
Martin Johnsen,EP,C-1000 Commercial Remodel,1011 SPRINGDALE RD,,13,305 Final Electric,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,,,2025-147036 EP,1011,SPRINGDALE,3129650,10070481,30.26632581,-97.69425832,"
,  
(30.26632581, -97.69425832)"
Levi Singleton,EP,Residential,2401 TOULOUSE DR,,,305 Final Electric,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,JACKSON NAOMI KATHRYN,,2026-053888 EP,2401,TOULOUSE,3088919,10038982,30.18233054,-97.82549452,"
,  
(30.18233054, -97.82549452)"
Robin Quick,MP,Residential,7321 LOOKOUT BLUFF TER,,,405 Final Mechanical,,2026-05-13T00:00:00.000,2026-05-13T00:00:00.000,,,2026-055009 MP,7321,LOOKOUT BLUFF,3072565.530000001,10060682.245625004,30.24298567,-97.87572106,"
,  
(30.24298567, -97.87572106)"
