cultivar_id,name,crop,parent_line_ids,target_trait_ids,marker_ids,status,breeding_stage,alt_name,release_year,notes
A-CUL-TOM-049,SunBlast-49,tomato,"A-CUL-TOM-BASE-20","A-TRT-HEAT;A-TRT-DRT","A-GEN-HEAT2;A-GEN-DRT3",active,field_ready,,2025,"Desert Southwest target; high heat + low water"
A-CUL-TOM-050,FrostEdge-50,tomato,"A-CUL-TOM-BASE-21","A-TRT-FROST","A-GEN-FROST1",experimental,pre_selection,FE50,,"Cold tolerance marker; early screening only"
A-CUL-TOM-051,RedRover-51,tomato,"A-CUL-TOM-BASE-22","A-TRT-LYC;A-TRT-BLIGHT","A-GEN-LYC2;A-GEN-BLIGHT1",active,field_ready,,2025,"High lycopene + blight resistance combo"
A-CUL-TOM-052,BrightFire-52,tomato,"A-CUL-TOM-BASE-06","A-TRT-LYC","A-GEN-LYC1;A-GEN-LYC2",deprecated,retired,,2021,"Replaced by LycoMax-34; yield too low"
A-CUL-TOM-053,SandStorm-53,tomato,"A-CUL-TOM-BASE-23","A-TRT-DRT;A-TRT-HEAT;A-TRT-SAL","A-GEN-DRT2;A-GEN-HEAT1;A-GEN-SAL1",active,greenhouse_validated,,2025,"Triple abiotic stress package; Yuma target"
A-CUL-TOM-054,DeltaFort-54,tomato,"A-CUL-TOM-BASE-24","A-TRT-FUS;A-TRT-BLIGHT","A-GEN-FUS1;A-GEN-BLIGHT1",active,field_ready,,2025,"Disease resistance for delta muck soils"
A-CUL-TOM-055,Solara-55,tomato,"A-CUL-TOM-BASE-02","A-TRT-DRT;A-TRT-PMR;A-TRT-LYC","A-GEN-DRT2;A-GEN-PMR3;A-GEN-LYC1",active,greenhouse_validated,Sunny,2025,"Third-gen Solara; premium trait stack"
A-CUL-TOM-056,MegaYield-56,tomato,"A-CUL-TOM-BASE-25","A-TRT-YLD","A-GEN-YLD1;A-GEN-YLD2",active,field_ready,,2024,"High yield without disease package"
A-CUL-TOM-057,CompactVine-57,tomato,"A-CUL-TOM-BASE-26","A-TRT-COMP","A-GEN-COMP1",active,greenhouse_validated,,2024,"Compact vine for high-density greenhouse planting"
A-CUL-TOM-058,GreenRoof-58,tomato,"A-CUL-TOM-BASE-27","A-TRT-COMP;A-TRT-LYC","A-GEN-COMP1;A-GEN-LYC1",experimental,pre_selection,GR58,,"Compact + lycopene; urban rooftop market concept"
A-CUL-TOM-059,NightBloom-59,tomato,"A-CUL-TOM-BASE-28","A-TRT-EAR-FL","A-GEN-EAR-FL2",active,greenhouse_validated,,2025,"Low-light flowering adaptation"
A-CUL-PEP-010,SaltKing-10,pepper,"A-CUL-PEP-BASE-01","A-TRT-SAL;A-TRT-DRT","A-GEN-SAL1;A-GEN-DRT2",active,field_ready,,2023,"Expanded salt-drought pepper; saline drip programs"
A-CUL-PEP-011,HeatPepper-11,pepper,"A-CUL-PEP-BASE-02","A-TRT-HEAT;A-TRT-PMR","A-GEN-HEAT2;A-GEN-PMR3",active,greenhouse_validated,,2024,"Heat + PMR package for covered pepper production"
A-CUL-PEP-012,CrispBell-12,pepper,"A-CUL-PEP-BASE-03","A-TRT-YLD","A-GEN-YLD1",active,field_ready,,2023,"High yield bell pepper; SE fresh market"
A-CUL-PEP-013,MildFire-13,pepper,"A-CUL-PEP-BASE-04","A-TRT-HEAT","A-GEN-HEAT2",active,field_ready,,2024,"Mild Anaheim type; heat tolerant"
A-CUL-PEP-014,ChileCrown-14,pepper,"A-CUL-PEP-BASE-05","A-TRT-HEAT;A-TRT-DRT","A-GEN-HEAT1;A-GEN-DRT2",active,greenhouse_validated,,2024,"Hot chile type; arid conditions"
A-CUL-PEP-015,BlazePoint-15,pepper,"A-CUL-PEP-BASE-06","A-TRT-HEAT","A-GEN-HEAT1",licensed_out,field_ready,,2022,"Licensed to specialty spice co"
A-CUL-PEP-016,JalapenoPlus-16,pepper,"A-CUL-PEP-BASE-07","A-TRT-HEAT;A-TRT-PMR","A-GEN-HEAT2;A-GEN-PMR4",active,field_ready,,2024,"Improved jalapeño type; mildew resistance"
A-CUL-PEP-017,NightShade-17,pepper,"A-CUL-PEP-BASE-08","A-TRT-DRT","A-GEN-DRT2",deprecated,retired,,2020,"Retired due to poor fruit set"
A-CUL-PEP-018,SaltBell-18,pepper,"A-CUL-PEP-BASE-01","A-TRT-SAL","A-GEN-SAL1;A-GEN-SAL2",active,greenhouse_validated,,2025,"Bell type with dual salt markers"
A-CUL-PEP-019,CeriseHot-19,pepper,"A-CUL-PEP-BASE-09","A-TRT-HEAT;A-TRT-YLD","A-GEN-HEAT1;A-GEN-YLD1",active,field_ready,,2025,"Cherry pepper; high yield warm climates"
A-CUL-PEP-020,FrostBite-20,pepper,"A-CUL-PEP-BASE-10","A-TRT-FROST","A-GEN-FROST1",experimental,pre_selection,FB20,,"Cold pepper trial; Great Lakes target"
A-CUL-PEP-021,VineHeat-21,pepper,"A-CUL-PEP-BASE-02","A-TRT-HEAT","A-GEN-HEAT2",active,field_ready,,2024,"Compact vine hot pepper; tunnel production"
A-CUL-PEP-022,AridBell-22,pepper,"A-CUL-PEP-BASE-03","A-TRT-DRT;A-TRT-HEAT","A-GEN-DRT2;A-GEN-HEAT1",active,greenhouse_validated,,2025,"Bell pepper for arid high-heat zones"
A-CUL-PEP-023,PaprikaRed-23,pepper,"A-CUL-PEP-BASE-11","A-TRT-LYC","A-GEN-LYC1",active,field_ready,,2024,"High pigment paprika type"
A-CUL-PEP-024,SmokyChile-24,pepper,"A-CUL-PEP-BASE-05","A-TRT-HEAT;A-TRT-DRT","A-GEN-HEAT1;A-GEN-DRT3",active,field_ready,,2025,"Smoky flavor profile; drought resilient"
A-CUL-BSL-001,BasilBright-01,basil,"A-CUL-BSL-BASE-01","A-TRT-OIL;A-TRT-PMR","A-GEN-OIL1;A-GEN-PMR3",active,field_ready,,2022,"High essential oil + PMR; flagship basil line"
A-CUL-BSL-002,BasilBright-02,basil,"A-CUL-BSL-BASE-01","A-TRT-OIL","A-GEN-OIL1;A-GEN-OIL2",active,field_ready,,2023,"Dual oil gene stack; improved oil yield 12%"
A-CUL-BSL-003,TerraHerb-03,basil,"A-CUL-BSL-BASE-02","A-TRT-OIL;A-TRT-DRT","A-GEN-OIL1;A-GEN-DRT2",active,greenhouse_validated,,2024,"Oil + drought for outdoor summer herb production"
A-CUL-BSL-004,GenovaElite-04,basil,"A-CUL-BSL-BASE-03","A-TRT-OIL","A-GEN-OIL2",active,field_ready,GE4,2023,"Genovese type; Italian restaurant market"
A-CUL-BSL-005,PurpleVault-05,basil,"A-CUL-BSL-BASE-04","A-TRT-ANTHO","A-GEN-ANTHO1",active,field_ready,,2024,"High anthocyanin purple basil; specialty garnish"
A-CUL-BSL-006,LemonZest-06,basil,"A-CUL-BSL-BASE-05","A-TRT-OIL","A-GEN-OIL3",active,field_ready,,2024,"Lemon basil type; high citral content"
A-CUL-BSL-007,ThaiSpice-07,basil,"A-CUL-BSL-BASE-06","A-TRT-OIL;A-TRT-HEAT","A-GEN-OIL1;A-GEN-HEAT1",active,greenhouse_validated,,2024,"Thai basil profile; heat tolerant for tunnel growing"
A-CUL-BSL-008,MintLeaf-08,basil,"A-CUL-BSL-BASE-07","A-TRT-OIL","A-GEN-OIL4",experimental,pre_selection,ML08,,"Unusual menthol-basil hybrid; flavor research only"
A-CUL-BSL-009,ClovenHerb-09,basil,"A-CUL-BSL-BASE-08","A-TRT-OIL;A-TRT-PMR","A-GEN-OIL2;A-GEN-PMR3",active,field_ready,,2025,"Clove basil type; PMR for humid markets"
A-CUL-BSL-010,SweetMax-10,basil,"A-CUL-BSL-BASE-01","A-TRT-OIL","A-GEN-OIL1",deprecated,retired,,2021,"Retired; lower oil content than BasilBright series"
A-CUL-BSL-011,GreenhouseGem-11,basil,"A-CUL-BSL-BASE-09","A-TRT-OIL;A-TRT-PMR","A-GEN-OIL2;A-GEN-PMR4",active,greenhouse_validated,,2025,"Greenhouse-only; compact canopy, high oil density"
A-CUL-BSL-012,AromaPeak-12,basil,"A-CUL-BSL-BASE-10","A-TRT-OIL;A-TRT-ANTHO","A-GEN-OIL1;A-GEN-ANTHO1",active,field_ready,,2025,"Dual aroma+color; specialty food service"
A-CUL-LVD-001,LavBlue-01,lavender,"A-CUL-LVD-BASE-01","A-TRT-OIL;A-TRT-DRT","A-GEN-OIL5;A-GEN-DRT2",active,field_ready,,2021,"Core lavender oil line; drought adapted"
A-CUL-LVD-002,LavBlue-02,lavender,"A-CUL-LVD-BASE-01","A-TRT-OIL","A-GEN-OIL5;A-GEN-OIL6",active,field_ready,,2022,"Higher linalool fraction than LavBlue-01"
A-CUL-LVD-003,AngusFold-03,lavender,"A-CUL-LVD-BASE-02","A-TRT-OIL;A-TRT-FROST","A-GEN-OIL5;A-GEN-FROST1",active,greenhouse_validated,,2023,"Cold-hardy lavender; Pacific Northwest market"
A-CUL-LVD-004,PurpleRidge-04,lavender,"A-CUL-LVD-BASE-03","A-TRT-OIL;A-TRT-DRT","A-GEN-OIL6;A-GEN-DRT3",active,field_ready,,2023,"Drought-hardy; California hill farms"
A-CUL-LVD-005,MunsteadPlus-05,lavender,"A-CUL-LVD-BASE-04","A-TRT-OIL","A-GEN-OIL5",licensed_out,field_ready,,2022,"Licensed to essential oil distillery partner"
A-CUL-LVD-006,HidcoteElite-06,lavender,"A-CUL-LVD-BASE-05","A-TRT-OIL;A-TRT-DRT","A-GEN-OIL5;A-GEN-DRT2",active,field_ready,,2024,"Hidcote type; deep purple; drought hardy"
A-CUL-LVD-007,SilverMist-07,lavender,"A-CUL-LVD-BASE-06","A-TRT-OIL;A-TRT-FROST","A-GEN-OIL6;A-GEN-FROST1",active,greenhouse_validated,,2024,"Silver foliage; cold tolerance + high ester yield"
A-CUL-LVD-008,SunValley-08,lavender,"A-CUL-LVD-BASE-07","A-TRT-OIL;A-TRT-HEAT","A-GEN-OIL5;A-GEN-HEAT1",active,field_ready,,2024,"Heat-adapted lavender for Inland Empire growers"
A-CUL-LVD-009,CoastBloom-09,lavender,"A-CUL-LVD-BASE-08","A-TRT-OIL","A-GEN-OIL5;A-GEN-OIL6",active,field_ready,,2025,"Coastal fog-tolerant; Sonoma/Petaluma farms"
A-CUL-LVD-010,AridMist-10,lavender,"A-CUL-LVD-BASE-09","A-TRT-OIL;A-TRT-DRT;A-TRT-HEAT","A-GEN-OIL5;A-GEN-DRT2;A-GEN-HEAT1",active,field_ready,,2025,"Triple abiotic tolerance; Arizona lavender farms"
A-CUL-LVD-011,FrostLav-11,lavender,"A-CUL-LVD-BASE-10","A-TRT-FROST;A-TRT-OIL","A-GEN-FROST1;A-GEN-OIL6",experimental,pre_selection,FL11,,"Extreme cold trial; Canadian prairies target"
A-CUL-LVD-012,BlueDune-12,lavender,"A-CUL-LVD-BASE-11","A-TRT-OIL;A-TRT-SAL","A-GEN-OIL5;A-GEN-SAL1",active,greenhouse_validated,,2025,"Salt-tolerant lavender; coastal reclaimed land"
