cross_id,female_parent_id,male_parent_id,cross_date,offspring_cultivar_id,generation,program_notes
A-CRS-0033,A-CUL-TOM-043,A-CUL-TOM-035,2022-04-22,,F4,"Unstable marker segregation; program paused"
A-CRS-0034,A-CUL-TOM-BASE-14,A-CUL-TOM-BASE-04,2019-02-18,A-CUL-TOM-025,F1,"DoubleShield F1; blight+fusarium confirmed"
A-CRS-0035,A-CUL-TOM-025,A-CUL-TOM-017,2020-05-03,A-CUL-TOM-045,F2,"Further blight+PMR stack; good in F2"
A-CRS-0036,A-CUL-TOM-BASE-15,A-CUL-TOM-BASE-11,2019-04-09,A-CUL-TOM-026,F1,"VerseFree F1; VERT1 confirmed in all plants"
A-CRS-0037,A-CUL-TOM-026,A-CUL-TOM-036,2020-07-14,,F2,"Line retired; overlapping market with VerseFree-44"
A-CRS-0038,A-CUL-TOM-BASE-16,A-CUL-TOM-BASE-12,2019-06-28,A-CUL-TOM-027,F1,"TripleDrought F1; early stage only"
A-CRS-0039,A-CUL-TOM-027,A-CUL-TOM-023,2020-09-01,A-CUL-TOM-042,F2,"DRT4 marker introduced; experimental only"
A-CRS-0040,A-CUL-TOM-042,A-CUL-TOM-027,2021-10-10,,F3,"F3 screening ongoing; no stable line selected yet"
A-CRS-0041,A-CUL-TOM-BASE-17,A-CUL-TOM-BASE-06,2018-08-14,A-CUL-TOM-028,F1,"ColorMax F1; lycopene expression strong"
A-CRS-0042,A-CUL-TOM-028,A-CUL-TOM-019,2019-10-05,,F2,"Color+lycopene combo had low fruit set; retired"
A-CRS-0043,A-CUL-TOM-BASE-18,A-CUL-TOM-BASE-06,2021-01-11,A-CUL-TOM-047,F1,"SunCrest F1; drought+lycopene promising"
A-CRS-0044,A-CUL-TOM-047,A-CUL-TOM-034,2022-02-22,,F2,"F2 unstable; retrying with adjusted selection pressure"
A-CRS-0045,A-CUL-TOM-BASE-19,A-CUL-TOM-BASE-10,2021-03-05,A-CUL-TOM-048,F1,"IronRoot F1; NEM2 marker confirmed 10 of 12"
A-CRS-0046,A-CUL-TOM-048,A-CUL-TOM-020,2022-04-18,,F2,"Root growth abnormal in F2; genetics review pending"
A-CRS-0047,A-CUL-TOM-BASE-20,A-CUL-TOM-BASE-07,2021-05-01,A-CUL-TOM-049,F1,"SunBlast F1; heat+drought confirmed early"
A-CRS-0048,A-CUL-TOM-049,A-CUL-TOM-032,2022-06-15,,F2,"Too many segregating loci; advanced only one plant"
A-CRS-0049,A-CUL-TOM-049,A-CUL-TOM-053,2023-02-14,A-CUL-TOM-053,F3,"Triple abiotic stack stable in 4 of 11 plants"
A-CRS-0050,A-CUL-TOM-BASE-21,A-CUL-TOM-BASE-03,2022-07-10,A-CUL-TOM-050,F1,"FrostEdge F1; cold tolerance confirmed under 4C"
A-CRS-0051,A-CUL-TOM-050,A-CUL-TOM-038,2023-08-20,,F2,"F2 selection ongoing; 2 of 9 plants retained"
A-CRS-0052,A-CUL-TOM-BASE-22,A-CUL-TOM-BASE-06,2021-06-22,A-CUL-TOM-051,F1,"RedRover F1; lycopene+blight confirmed"
A-CRS-0053,A-CUL-TOM-051,A-CUL-TOM-035,2022-08-03,,F2,"F2 blight expression variable; re-screened in 2023"
A-CRS-0054,A-CUL-TOM-BASE-23,A-CUL-TOM-BASE-07,2022-01-12,A-CUL-TOM-053,F1,"SandStorm F1; all three stress markers present"
A-CRS-0055,A-CUL-TOM-053,A-CUL-TOM-040,2023-04-05,,F2,"Complexity too high in F2; one plant continued to F3"
A-CRS-0056,A-CUL-TOM-BASE-24,A-CUL-TOM-BASE-04,2022-02-28,A-CUL-TOM-054,F1,"DeltaFort F1; dual disease resistance stable"
A-CRS-0057,A-CUL-TOM-054,A-CUL-TOM-036,2023-05-10,,F2,"F2 phenotype mixed; 3 of 14 plants acceptable"
A-CRS-0058,A-CUL-TOM-BASE-25,A-CUL-TOM-BASE-06,2021-09-01,A-CUL-TOM-056,F1,"MegaYield F1; yield QTL confirmed"
A-CRS-0059,A-CUL-TOM-056,A-CUL-TOM-019,2022-10-14,,F2,"Yield+lyco combo too late in season; not advanced"
A-CRS-0060,A-CUL-TOM-BASE-26,A-CUL-TOM-BASE-27,2022-03-18,A-CUL-TOM-057,F1,"CompactVine F1; uniform compact habit"
A-CRS-0061,A-CUL-TOM-057,A-CUL-TOM-028,2023-04-20,A-CUL-TOM-058,F2,"GreenRoof F2; compact+lycopene; kept 2 of 8"
A-CRS-0062,A-CUL-TOM-058,A-CUL-TOM-057,2024-05-01,,F3,"F3 compact expression unstable; reassessing"
A-CRS-0063,A-CUL-TOM-BASE-28,A-CUL-TOM-BASE-03,2022-05-09,A-CUL-TOM-059,F1,"NightBloom F1; low-light flowering confirmed"
A-CRS-0064,A-CUL-TOM-059,A-CUL-TOM-038,2023-07-11,,F2,"F2 flower timing variable; 1 of 7 plants held for F3"
A-CRS-0065,A-CUL-TOM-BASE-02,A-CUL-TOM-BASE-13,2020-03-01,A-CUL-TOM-055,F1,"Solara-55 parent cross; Solara base + PMR"
A-CRS-0066,A-CUL-TOM-055,A-CUL-TOM-014,2021-04-12,,F2,"F2 lycopene not expressed; parents re-crossed"
A-CRS-0067,A-CUL-TOM-055,A-CUL-TOM-034,2022-05-22,A-CUL-TOM-055,F3,"Good in F3, kept 3 of 12 plants; Sunny confirmed"
A-CRS-0068,A-CUL-TOM-055,A-CUL-TOM-043,2023-06-14,,F4,"F4 failed; mildew outbreak in greenhouse trial block"
A-CRS-0069,A-CUL-PEP-BASE-01,A-CUL-PEP-BASE-02,2019-03-08,A-CUL-PEP-008,F1,"SaltKing F1; SAL1 marker positive"
A-CRS-0070,A-CUL-PEP-008,A-CUL-PEP-010,2020-04-22,,F2,"F2 yield poor; discarded after first selection round"
A-CRS-0071,A-CUL-PEP-008,A-CUL-PEP-BASE-01,2021-05-15,A-CUL-PEP-010,F3,"SaltKing-10 stable; drought marker added in F3"
A-CRS-0072,A-CUL-PEP-010,A-CUL-PEP-018,2022-06-10,,F4,"Dual-salt variant unstable in F4; held pending"
A-CRS-0073,A-CUL-PEP-BASE-02,A-CUL-PEP-BASE-03,2019-06-17,A-CUL-PEP-009,F1,"HeatPepper F1; heat marker confirmed"
A-CRS-0074,A-CUL-PEP-009,A-CUL-PEP-016,2020-08-01,A-CUL-PEP-011,F2,"PMR added; good in F2, 5 of 14 plants"
A-CRS-0075,A-CUL-PEP-011,A-CUL-PEP-BASE-02,2021-09-20,,F3,"F3 heat expression uneven; not continued"
A-CRS-0076,A-CUL-PEP-BASE-03,A-CUL-PEP-BASE-04,2020-02-03,A-CUL-PEP-012,F1,"CrispBell F1; yield QTL present"
A-CRS-0077,A-CUL-PEP-012,A-CUL-PEP-BASE-02,2021-03-18,,F2,"Fruit quality dropped in F2; line not advanced"
A-CRS-0078,A-CUL-PEP-BASE-04,A-CUL-PEP-BASE-02,2020-04-14,A-CUL-PEP-013,F1,"MildFire F1; heat marker confirmed"
A-CRS-0079,A-CUL-PEP-013,A-CUL-PEP-014,2021-06-07,,F2,"Cross failed; low pollen viability noted"
A-CRS-0080,A-CUL-PEP-BASE-05,A-CUL-PEP-BASE-02,2020-07-29,A-CUL-PEP-014,F1,"ChileCrown F1; heat+drought confirmed early"
A-CRS-0081,A-CUL-PEP-014,A-CUL-PEP-024,2021-09-10,A-CUL-PEP-024,F2,"SmokyChile F2; aroma profile selected from 4 plants"
A-CRS-0082,A-CUL-PEP-024,A-CUL-PEP-014,2022-10-25,,F3,"F3 DRT3 marker lost; line archived"
A-CRS-0083,A-CUL-PEP-BASE-06,A-CUL-PEP-BASE-02,2019-08-01,A-CUL-PEP-015,F1,"BlazePoint F1; heat marker positive all plants"
A-CRS-0084,A-CUL-PEP-BASE-07,A-CUL-PEP-BASE-02,2021-01-17,A-CUL-PEP-016,F1,"JalapenoPlus F1; jalapeño type with PMR4"
A-CRS-0085,A-CUL-PEP-016,A-CUL-PEP-011,2022-03-09,,F2,"F2 flavor profile off-type; not continued"
A-CRS-0086,A-CUL-PEP-BASE-08,A-CUL-PEP-BASE-01,2018-09-05,A-CUL-PEP-017,F1,"NightShade-17 F1; later retired"
A-CRS-0087,A-CUL-PEP-BASE-09,A-CUL-PEP-BASE-04,2022-02-22,A-CUL-PEP-019,F1,"CeriseHot F1; cherry type vigorous"
A-CRS-0088,A-CUL-PEP-019,A-CUL-PEP-012,2023-03-15,,F2,"F2 fruit size too variable; selection deferred"
A-CRS-0089,A-CUL-PEP-BASE-10,A-CUL-PEP-BASE-03,2023-01-30,A-CUL-PEP-020,F1,"FrostBite F1; FROST1 marker present 9 of 10"
A-CRS-0090,A-CUL-PEP-BASE-02,A-CUL-PEP-BASE-03,2021-04-04,A-CUL-PEP-021,F1,"VineHeat F1; compact hot pepper confirmed"
A-CRS-0091,A-CUL-PEP-BASE-03,A-CUL-PEP-BASE-01,2022-05-16,A-CUL-PEP-022,F1,"AridBell F1; drought+heat marker stacking"
A-CRS-0092,A-CUL-PEP-022,A-CUL-PEP-014,2023-06-25,,F2,"F2 bell shape distorted; not selected"
A-CRS-0093,A-CUL-PEP-BASE-11,A-CUL-PEP-BASE-04,2021-07-11,A-CUL-PEP-023,F1,"PaprikaRed F1; pigment marker confirmed"
A-CRS-0094,A-CUL-PEP-023,A-CUL-PEP-BASE-11,2022-08-02,,F2,"F2 pigment expression lower than expected; parent recross planned"
A-CRS-0095,A-CUL-BSL-BASE-01,A-CUL-BSL-BASE-02,2019-04-01,A-CUL-BSL-001,F1,"BasilBright F1; OIL1+PMR3 confirmed"
A-CRS-0096,A-CUL-BSL-001,A-CUL-BSL-BASE-01,2020-05-22,A-CUL-BSL-002,F2,"Dual OIL markers; kept 4 of 13 plants"
A-CRS-0097,A-CUL-BSL-002,A-CUL-BSL-BASE-02,2021-06-14,,F3,"F3 oil yield plateau; line archived, not dropped"
A-CRS-0098,A-CUL-BSL-BASE-02,A-CUL-BSL-BASE-01,2021-02-18,A-CUL-BSL-003,F1,"TerraHerb F1; DRT2 marker added to basil"
A-CRS-0099,A-CUL-BSL-003,A-CUL-BSL-001,2022-04-07,,F2,"Oil yield variation in F2; drought marker stable though"
A-CRS-0100,A-CUL-BSL-BASE-03,A-CUL-BSL-BASE-01,2020-03-15,A-CUL-BSL-004,F1,"GenovaElite F1; Italian market target"
A-CRS-0101,A-CUL-BSL-004,A-CUL-BSL-002,2021-05-01,,F2,"F2 flavor off-type; selected only 1 of 11"
A-CRS-0102,A-CUL-BSL-BASE-04,A-CUL-BSL-BASE-05,2021-06-09,A-CUL-BSL-005,F1,"PurpleVault F1; anthocyanin marker confirmed"
A-CRS-0103,A-CUL-BSL-005,A-CUL-BSL-012,2022-07-14,A-CUL-BSL-012,F2,"AromaPeak F2; dual aroma+color; kept 3 of 10"
A-CRS-0104,A-CUL-BSL-BASE-05,A-CUL-BSL-BASE-01,2021-07-22,A-CUL-BSL-006,F1,"LemonZest F1; OIL3 (citral) marker present"
A-CRS-0105,A-CUL-BSL-006,A-CUL-BSL-001,2022-09-05,,F2,"F2 citral expression lower in heat; rescheduled"
A-CRS-0106,A-CUL-BSL-BASE-06,A-CUL-BSL-BASE-01,2021-08-17,A-CUL-BSL-007,F1,"ThaiSpice F1; heat+oil profile promising"
A-CRS-0107,A-CUL-BSL-007,A-CUL-BSL-006,2022-10-02,,F2,"F2 selection ongoing; aroma scoring in progress"
A-CRS-0108,A-CUL-BSL-BASE-07,A-CUL-BSL-BASE-05,2022-01-10,A-CUL-BSL-008,F1,"MintLeaf F1; menthol-basil hybrid viable"
A-CRS-0109,A-CUL-BSL-BASE-08,A-CUL-BSL-BASE-01,2022-02-14,A-CUL-BSL-009,F1,"ClovenHerb F1; clove basil type confirmed"
A-CRS-0110,A-CUL-BSL-BASE-09,A-CUL-BSL-BASE-02,2023-03-01,A-CUL-BSL-011,F1,"GreenhouseGem F1; compact + oil + PMR4 all present"
A-CRS-0111,A-CUL-LVD-BASE-01,A-CUL-LVD-BASE-02,2018-06-15,A-CUL-LVD-001,F1,"LavBlue-01 F1; oil + drought marker early confirmation"
A-CRS-0112,A-CUL-LVD-001,A-CUL-LVD-BASE-01,2019-07-22,A-CUL-LVD-002,F2,"OIL6 added in F2; linalool fraction up 8%"
A-CRS-0113,A-CUL-LVD-002,A-CUL-LVD-BASE-03,2021-04-09,,F3,"F3 oil profile inconsistent between reps; held"
A-CRS-0114,A-CUL-LVD-BASE-02,A-CUL-LVD-BASE-01,2020-05-18,A-CUL-LVD-003,F1,"AngusFold F1; cold tolerance + oil confirmed"
A-CRS-0115,A-CUL-LVD-003,A-CUL-LVD-001,2021-06-24,,F2,"F2 cold marker dropped in 4 of 9 plants; re-selection"
A-CRS-0116,A-CUL-LVD-BASE-03,A-CUL-LVD-BASE-01,2020-07-09,A-CUL-LVD-004,F1,"PurpleRidge F1; drought+OIL6 confirmed"
A-CRS-0117,A-CUL-LVD-004,A-CUL-LVD-002,2021-09-14,A-CUL-LVD-009,F2,"CoastBloom F2; coastal fog tolerance expressed"
A-CRS-0118,A-CUL-LVD-BASE-04,A-CUL-LVD-BASE-01,2019-08-01,A-CUL-LVD-005,F1,"MunsteadPlus F1; OIL5 strong; licensed in 2022"
A-CRS-0119,A-CUL-LVD-BASE-05,A-CUL-LVD-BASE-01,2021-10-12,A-CUL-LVD-006,F1,"HidcoteElite F1; drought+oil confirmed all plants"
A-CRS-0120,A-CUL-LVD-006,A-CUL-LVD-001,2022-11-28,,F2,"F2 purple color lighter than target; line held for reselection"
