run_id,date,strain_id,media_id,temperature_c,ph_start,ph_end,duration_hr,vessel_scale_l,run_status,peak_od600,final_titer_gl,notes
B-RUN-FERM-193,2024-09-10,B-STR-YE-059,B-MEDIA-005,28,5.1,4.3,72,50,completed,9.8,6.1,TropiHeat 59 Q3 batch 2; peak tropical ester titer
B-RUN-FERM-194,2024-09-12,B-STR-YE-052,B-MEDIA-001,14,5.2,4.4,96,50,completed,9.5,5.7,EthylStar 52 Q3 pilot 50L; production batch approved
B-RUN-FERM-195,2024-09-14,B-STR-YE-036,B-MEDIA-009,18,5.2,4.5,96,50,completed,9.7,5.9,FloralMax 36 Q3 batch 2; Q3 highest titer
B-RUN-FERM-196,2024-09-16,B-STR-YE-042,B-MEDIA-001,20,5.2,4.5,96,5,completed,7.8,3.6,AniseFerm 42 bench retry after DO crash; aeration adjusted
B-RUN-FERM-197,2024-09-18,B-STR-AA-005,B-MEDIA-013,30,5.5,4.1,48,5,completed,4.5,11.2,AcetoLowOff 05 first run; reduced acetaldehyde confirmed vs parent
B-RUN-FERM-198,2024-09-20,B-STR-YE-055,B-MEDIA-009,17,5.2,4.5,96,50,completed,9.7,5.9,TerpBoost 55 Q3 batch 2; terpene production record for strain
B-RUN-FERM-199,2024-09-22,B-STR-YE-017,B-MEDIA-009,14,5.2,4.3,96,50,completed,9.8,6.1,EsterMax 17 Q3 closing batch; highest Q3 titer
B-RUN-FERM-200,2024-09-25,B-STR-LA-018,B-MEDIA-015,28,5.8,4.7,48,5,completed,5.5,15.9,LactoBerry 18 retry on MRS-equivalent media; growth improved
B-RUN-FERM-201,2024-09-27,B-STR-YE-049,B-MEDIA-005,16,5.1,4.3,72,20,completed,7.9,3.8,BlueberryEst 49 20L scale; profile stable
B-RUN-FERM-202,2024-09-29,B-STR-YE-031,B-MEDIA-009,16,5.2,4.4,96,50,in_progress,8.1,,TropicBlast 31 Q3 closing batch; harvest pending 2024-10-02
